Term,Abbreviation
report,RPRT
report program generator,RPG
reproduce,REPRO
reproducer,RPDR
reproducing unit,RU
reproduction,REPROD
republic,REPB
repulsion,RPLSN
request,REQ
request for deviation,RFD
request for engineering change,REC
request for price quotation,RPQ
request for waiver,RFW
require,REQ
required,REQD
requirement,REQT
requisition,REQN
rescind,RESC
rescue,RSQ
rescue boat,RSQBT
rescue equipment locker,REL
research,RES
research and development,R&D
reseating,RESEAT
reserve,RSV
reserve feedwater,RFW
reserve oil tank,ROT
reservoir,RSVR
reset set trigger,RST
residual,RESID
residual field,RESFLD
resilient,RESIL
resistance (comb form),
resistance-inductance-capacitance,RLC
resistance temperature detector,RTD
resistance-capacitance,RC
resistance-capacitance coupled,RCCPLD
resistance-inductance,RL
resistor,RES
resistor capacitor transistor logic,RCTL
resistor-transistor logic,RTL
resolution,RESOLN
resolver,RSLVR
resonant,RESN
respective,RSPV
respectively,RESP
respirator,RSPTR
respond,RSPD
response,RSPS
restore,RST
restorer,RESTR
restrict,RSTR
restrictor,RSTR
retain,RET
retainer,RTNR
retard,RTD
retardation coil,RTDC
retarder,RTD
retarder brake,RTDBK
retarding,RTD
retension,RETNN
reticle,RTCL
reticulated grating,RG
retraced,RETR
retract,RETR
retrieve,RTRV
retroactive,RETRO
retrogressive,RETROG
return,RTN
return head,RHD
return-to-zero,RZ
reverberation control of gain,RCG
reverse,RVS
reverse-acting,RACT
reverse current,REVCUR
reverse current device,RCD
reversible,RVSBL
review,REV
revise,REV
revision,REV
revision authorization document,RAD
revolution,REV
revolution indicating system,RIS
revolution per minute,RPM
revolution per second,RPS
revolve,RVLV
rewind,RWND
rheostat,RHEO
rhodium,RHOD
rhombic,RHOMB
rhomboid,RHOMB
ribbed,RIB
ribbon,RBN
ridge,RDG
rigging,RGNG
right,R
right angle,RTANG
right bank,RBK
right buttock line,RBL
right hand,RH
right side,RS
right-hand drive,RHDR
right-hand side,RHS
righting arm,GZ
right-of-way,RW
rigid,RGD
ring counter,RCNTR
riser,R
rivet,RVT
roasting,RSTG
Robust Gaussian,RG
rocker,RKR
rocker arm,RKRA
rocket,RKT
rocket assist takeoff,RATO
rocket launcher,RL
rocket target,RT
Rockwell hardness,RH
Rockwell hardness A,RHA
Rockwell hardness B,RHB
Rockwell hardness C,RHC
rod control,RCONT
rod drive,rddr
Roebling Wire Gage,RWG
roll roofing,RR
rolled,RLD
roller,RLR
roller vane,RV
rolling steel door,RSD
rollover,RO
rollover protective structure,ROPS
roof drain,RD
roof leader,RL
roofing,RFG
root diameter,RD
root mean square,RMS
root sum square,RSS
rotary,RTRY
rotate,ROT
rotating passing scuttle,RPS
rotation,ROT.
rotator,ROTR
rotodome,RD
rotometer,ROTOMT
rotor,RTR
rough,RGH
rough opening,RO
roughness height rating,RHR
round,RND
round head,RDH
round trips per hour,RTPH
rounding,RDG
route,RTE
routine,ROUT
rubber,RBR
rubber base,RB
rubber hose jacket,RJH
rubber insulation,RINSUL
rubber sheath,R
rubber-covered cable,RCC
rubber-tile floor,RTF
rubble stone,RS
rudder,RUD
rudder angle order,RAO
rules and procedures,RP
running light,RNLT
running telltale light,RTTL
"running, signal, and anchor lights",RSALT
runout,RO
runway,RWY
rust preventative,RPVNTV
rustproof,RSTPF
safe locker,SL
safe operating area,SOAR
safe working pressure,SWP
safe practice data sheet,SPDS
safety,SAF
safety valve,SV
sail area,SA
salinity,SAL
salinity indicator,SI
salinometer,SAL
salt water,SW
salt water circulating pump,SWCP
salt water pump,SWP
salt-glazed structural facing units,SGSFU
salt-glazed structural unit base,SGSUB
saluting,SAL
salvage,SALV
same size,SS
sample part,SP
sampling,SMPLG
sandblast,SDBL
sand-loaded,SL
sanitary,SAN
saponify,SAPON
satellite,SATL
satellite-paper tape transfers,SATPATT
saturable core,SC
saturable reactor,SR
saturate,SAT
sawtooth,ST
Saybolt seconds furol,SSF
Saybolt seconds universal,SSU
scale,SC
scale model,SCMOD
scanner,SCNR
scanning,SCNG
scanning electron microscope,SEM
scattered,SCTD
scavenge,SCAV
scavenging oil pump,SOP
schedule,SCHED
schematic,SCHEM
Schmitt trigger,ST
science,SCI
scintillator,SCINT
scleroscope,SCLER
scleroscope hardness,SH
scooter,SCTR
scope,SCP
scraper,SRPR
scraping,SRPG
screen,SCRN
screen door,SCD
screen gate,SCRGT
screw,SCR
screw down,SCRDN
screw thread,SCRTHD
screwdriver,SCDR
screwed bonnet,SCRDB
scullery,SCLY
scupper,SCUP
scuttle,S
sea flood,SF
sea level,SL
sea level static,SLS
sea loading pipeline,SLPL
sealed,SLD
seal-in device,SID
sealing,SEG
seamless,SMLS
seamless steel tubing,SSTU
search,SRCH
searchlight,SCHLT
seater,STER
secant,SEC
second,s
second,SEC
secondary,SEC
section,SECT
sector,SCTR
sector scan indicator,SSI
securing,SECRG
security,SCTY
security guard window,SGW
security window screen and guard,SWSG
sedan,SED
segment,SEG
select,SEL
selected item drawing,SID
selective identification feature,SIF
selective ringing,SR
selectivity,SEL
select-operate-sense,SEOPSN
selector,SEL
selenium rectifier,SR
self-cleaning,SLFCLN
self-closing,SELFCL
self-contained,SCNTN
self-destroying,SD
self-generating,SLFGEN
self-indicating,SLFIND
self-locking,SLFLKG
self-propelled,SELFPROP
self-sealing,SLFSE
self-synchronous,SELSYN
self-tapping,ST (SLFTPG)
self-ventilated,SV
selsyn,SELS
semaphore,SMPHR
semi-armor-piercing,SAP
semiconductor,SEMICOND
semiconductor bilateral switch,SBS
semiconductor controlled rectifier,SCR
semiconductor controlled switch,SCS
semiconductor unilateral switch,SUS
semienclosed,SEN
semifinished,SF
semifireproof,SFPRF
semifixed,SFXD
semiflush,SFLS
semisteel,SS
semitrailer,STLR
semivital,SVTL
send and receive,SR
sender,SDR
sending,SNDG
senior,SR
sense,SEN
sense amplifier,SA
sensitive,SENS
sensitivity,SENS
sensitivity time control,STC
sensitized,SNTZD
sensitized material print,SMP
sensitizing,SNTZG
sensor,SNSR
separate,SEP
September,SEP
septuple,SPT
sequence,SEQ
sequence check,SEQCHK
sequence number,SQN
sequential coding,SECO
sequential component automatic testing,SCAT
serial,SER
serial number,SERNO
series,SER
series relay,SRLY
serrate,SERR
server,SVR
service,SVCE
service bulletin,SB
service ceiling,SRVCLG
service factor amperes,SFA
service fuel oil,SF0
service sink,SS
"service, sort, and merge",SESAME
serving,SERG
servo,SVO
servomechanism,SERVO
servomotor,SVMTR
set screw,SSCR
setter,SETR
setting,SET
settling,SETLG
sewage,SEW
sewer,SEW
sexless [connector],SXL
sextant,SXTN
sextuple,SXT
shackle,SH
shaft,SFT
shaft alley,SA
shaft center,SC
shaft extension,SFTEXT
shaft gear,SHFGR
shakeproof,SHPRF
shank,SHK
shape,SHP
shaped charge,SC
share,SH
sharpener,SHRP
shear plate,SP
shearing,SHRNG
sheathing,SHTHG
sheave,SHV
sheet,SH
sheeting,SH
shell,SHL
shellac,SHL
shell-destroying,SD
shield,SHLD
shield [electronic device],SH
shielding,SHLD
shift,SHF
shift register,SR
ship class,SHPCL
ship control,SCONT
ship course,SCOU
ship distance,SDIS
ship draft indicating system,SDIS
ship draft indicator transmitter,SDIT
ship inertial navigational system,SINS
ship parts control center,SPCC
ship service,SS
ship service turbo generator,SSTG
ship speed,SSP
ship status,SHSTS
shipboard,SHPBD
shipboard allowance list,SAL
shipbuilder,SHBLDR
shipfitter,SFTR
shipment,SHPT
shipping,SHPNG
shipping center,SHCR
shock absorber,SHABS
shoemaker,SHMKR
shop missile assembly and maintenance,SMSA
shop order,SO
shop replaceable unit,SRU
shore connection,SHCONN
shore terminal box,STB
shoreline,SHLN
short circuit,SHORT
short range navigation,SHORAN
short side,SHTSD
short takeoff and landing,STOL
short taper,STPR
short time constant,SHTC
short turning radius,STR
short wave,SW
short wheelbase,SWB
short-circuit ratio,SCR
shortleaf yellow pine,SLYP
shot blast,SHBL
shot peening,SP
shots per minute,SPM
shoulder,SHLDR
shovel,SHVL
shower,SH
shower and toilet,SHT
shower drain,SD
shown,SHN
shrapnel,SHRAP
shredder,SHRDR
shrink mock-up template,SMUT
shroud,SHRD
shroud fin,SHRDF
shunt,SH
shunt trip,SHTR
shutdown,SHTDN
shutoff valve,SOV
shutter,SHTR
shuttle,SHTL
side dump,SDDUMP
side light,SILT
side looking radar,SLR
side shift,SDSFT
side upset jaw,SUJ
side water depth,SWD
sideband,SB
side-lobe blanking,SLB
side-lobe cancellation,SLC
side-lobe suppression,SLS
sidewinder,SIWDR
siding,SDG
signal,SIG
signal and homing light,SHLT
signal light bare,SLB
signaling,SNLG
signal-to-noise ratio,SNR
silence,SIL
silencing,SILG
silicomanganese steel,SMS
silicon controlled rectifier (see semiconductor controlled rectifier),
silicon precision alloy transistor,SPAT
silicon unilateral diffused transistor,SUDT
silver,SIL
silver braze,SB
silver brazing,SB
silver brazing union,SBU
silver solder,SILS
similar,SIM
simplex,SPLX
simulator,SIM
simulator compiler,SIMCOM
sine,SIN
sine of the amplitude,SN
single,SGL
single conductor,SC
single contact,SC
single cylinder,SCYL
single end,SE
single face,SIF
single feeder,SFDR
single rotating knife,SRKN
single shot,SS
single sideband,SSB
single sideboard,SSBD
single signal,SSIG
single throw,ST
single tire,ST
single weight,SW
single-base solid propellant,SBSP
single-beam klystron,SBK
single-conductor cable,SCC
single-groove [insul],SG
"single-groove, single-petticoat [insul]",SGSP
single-phase,SPH
single-pole,SP
"single-pole, double-throw",SPDT
"single-pole, double-throw switch",SPDTSW
"single-pole, single-throw",SPST
"single-pole, single-throw switch",SPSTSW
single-pole switch,SPSW
single-sided,SS
single-swing blocking oscillator,SSBO
sinter,SNTR
sintered,SNTR
siphon,SPHN
siren,SN
situation,SIT
sketch,SK
skinned,SK
skinner,SK
skirt,SKT
skirted,SKD
skylight,SLT
slate,SLT
sleeve,SLV
sleeve bearing,SB
sleeve metering fuel system,SMFS
sleeving,SLVG
slice,SLC
slide,SL
sliding,SL
sliding door,SLD
sliding expansion joint,SEJ
slinger,SLGR
slip fit,SF
slip joint,S]
slip ring,SR
slop sink,SS
slope,SLP
slotted,SLTD
slow operate [relay],SO
slow release [relay],SR
slow speed,SLSP
slowdown,SLD
sludge,SLG
small,SM
small arms,SA
smoke,SMK
smoke generator,SMKGEN
smokeless,SMKLS
smokeless powder,SP
smokestand,SS
smooth contour,SC
smooth neck,SMNK
smooth surface built-up roof,SSBR
smooth-face structural clay tile,SFSCT
smoothing,SM
snatch,SNH
snorkel,SNKL
snubber,SNBR
socket,SKT
socket head,SCH
socket head cap screw,SHCS
socket welding,SWLDG
soda fountain,SDFTN
software,SFW
software item identification drawing,SIDD
software item installation drawing,SIND
soil pipe,SP
soil stack,SSK
solder,SLDR
soldering,SLDR
solenoid,SOL
solenoid valve,SOLV
solid,SOL
solid body,SB
solid fiberboard,SFB
solid height,SOLHGT
solid neutral,SN
solid rocket,SR
soluble,SLBL
solution,SOLN
solvent,SLVT
sonar,SNR
sonar control room,SONCR
sonar countermeasures and deception,SONCM
sonar nacelle (sonacelle),SONAC
sonobuoy,SONB
sonoswitch,SONOSW
soot blower,SB
"sorting, updating, report generating, etc.",SURGE
sound,SND
sound motion picture,SMP
sound navigation and ranging,SONAR
sound ranging,SR
sound recorder-reproducer,SRR
sounder,SDR
sounding,SNDG
sounding machine,SMACH
sounding tube,ST
soundproof,SNDPRF
source,SCE
source [electron device],S
source control drawing,SOCD
source control number,SOCN
south,S
space,SP
space heater,SPH
spacecraft,SC
spacer,SPCR
spanner,SPNR
spare,SP
spare part,SP
spark,SPK
spark ignited,SPIG
spark plug,SPPL
speaker,SPKR
special,SPCL
special (comb form),SP
special [projectile],SP
special cleaning,SPCLN
special common [projectile],SPC
special equipment,SE
special purpose,SP
special regulations,SR
special screw,SPSCR
special services,SPS
special shaped,SPSHP
special treatment steel,STS
special weapons,SPLWPN
specific,SP
specific fuel consumption,SFC
specific gravity,SPGR
specific heat,SPHT
specific impulse,SIMP
specific volume,SPVOL
specification,SPEC
specification change notice,SCN
specification control drawing,SCD
specimen,SPEC
spectral distribution,SD
spectrum analyzer,SA
speed,SP
speed converter,SPCONV
speed light,SPLT
speed recorder,SR
speed regulator,SPREG
speedometer,SPDOM
spherical,SPHER
spherical cartridge,SPCTG
spherical radius,SR
spider,SPDR
spike,SPK
spin block,SB
spindle,SPDL
spin-stabilized [rockets],SS
spiral,SPL
splash block,SB
splashproof,SP
splice,SPLC
splice list,SPL
spline,SPLN
split ring,SR
split-phase,SPPH
splitter,SPLTR
splitting,SP
spool,SP
spooling,SPG
spot-face,SF
spot-face other side,SF0
spotlight,SLT
spot-weld,SW
sprayed acoustical ceiling,SAC
sprayer,SPYR
spraytight,SPT
spreader,SPRDR
spring,SPR
sprinkler,SPR
sprinkling,SPRG
sprocket,SPRKT
squadron,SQN
square,SQ
square centimeter,SQCM
square foot,SQFT
square head,SQH
square inch,SQIN
square kilometer,SQKM
square root,SQRT
square wave,SQW
squeeze grip,SQZGR
squirrel cage,SQCG
stabilization,STBLN
stabilize,STAB
stabilized local oscillator,STALO
stabilized master oscillator,STAMO
stabilized shunt,STSH
stabilizer,STAB
stable,STB
stack,STK
stage,STG
stainless,STNLS
stainless steel,SST
stairway,STWY
stake and platform,SP
stamp,STP
stanchion,STAN
standard,STD
standard instruction set,SIS
standard military drawing,SMD
standard nomenclature list,SNL
standardization,STDZN
standardized microcircuit drawing,SMD
standards committee,SC
standards development organization,SDO
standby,STBY
standing instruction,SI
standing wave ratio [voltage],SWR
standoff,STDF
standpipe,SP
star epitaxial planar,SEP
starboard,STBD
starboard side light,SSLT
start,ST
start and stop,STSP
starter,START
starting,STG
starting engine,STGENG
statement,STMT
stateroom,SR
static pressure,STPR
static random-access memory,SRAM
static self-verification,SSV
station,STA
station keeping lights,SKLT
stationary,STA
stator,STTR
statuary bronze,STBRZ
status,STAT
steady,STDY
steam,ST
steam engine direct-connected,SEDC
steam generator,STGEN
steam working pressure,STWP
steaming,STMG
steel,STL
steel basement window,SBW
steel cadmium plated,SCDP
steer,STR
steering,STRG
steering gear dual emergency,SGDE
steering group,SG
steering light,STGLT
Stellite,STLT
step down,STPDN
step down and step up,SDNSU
step recovery diode,SRD
step up,STU
stepper,STPR
stereophonic,STEREO
sterilizer,STER
stern diving,STDVG
stern light,STLT
stern plane,STPL
stick,STK
stiffener,STIF
still picture projector,SPP
stimulate,STML
stirrup,STIR
stitch,STCH
stock,STK
stock number,SNO
stock number sequence listing,SNSL
stock order,SO
stone,STN
stop order,SO
stopping,STPNG
storage,STOR
storage address register,SAR
store,ST
storeroom,STRM
storm water,STW
stove bolt,SB
stove rod,SROD
stowage,STWG
straight,STR
straight shank,SS
straight thread [pipe NPSC couplings],NPSC
straight-line frequency,SLF
straight-line wavelength,SLWL
strainer,STR
strake,STK
strand,STRD
stranded,STRD
strapped,STRP
strategic,STRAT
strategic missile,SM
stratosphere,STRATO
stream,STR
streamline,STRLN
street,ST
strength,STR
stress anneal,SA
stringer,STGR
strip,STP
stripe,STP
stripped,STPD
stripper,STPR
stripping,STR
strip-tin,ST
stroboscope,STBSCP
stroke,STRK
strong,STRG
strongback,STRBK
structural,STRL
"structural carbon steel, hard",SCSH
"structural carbon steel medium,",SCSM
"structural carbon steel, soft",SCSS
structural clay tile,SCT
structural glass,SG
structure,STRUCT
Stubs' Wire Gage,SWG
studio transmitter link,STL
stuffing,STFG
stuffing box,SB
subassembly,SUBASSY
subcaliber,SUBCAL
subcarrier authorization,SCA
subject,SUBJ
submarine,SUB
submarine mine depot,SMD
submerged,SUBMG
submergence,SUBMG
submersible,SBM
subminiature,SUBMIN
subsequent,SUBQ
subsoil drain,SSD
substation,SUBSTA
substitute,SUBST
substrate,SBSTR
substructure,SUBSTR
subsystem,SS
subtraction,SUBTR
succeeding,SUC
suction,SUCT
sudden ionospheric disturbance,SID
sufficient,SUF
suffix,SUFF
sulfur trioxide chlorosulfonic acid,FS
summary,SMY
summing,SUM
summing selector,SS
sump tank,SMTK
sunny,SNY
supercharge,SPCHG
superheater,SUPHTR
superheterodyne,SUPERHET
superhigh frequency,SHF
superimposed current,SUPCUR
superintendent,SUPT
superquick,SQ
supersede,SUPSD
supersensitive,SUPSENS
supersonic transport,SST
superstructure,SUPERSTR
supervise,SUPV
supervision,SPVN
supplement,SUPPL
supplemental specification frame,SSF
supplier,SUPL
supply,SPLY
support,SPRT
support equipment,SE
suppression,SUPPR
suppressor,SUPPR
surface,SURF
surfaced or dressed four sides,S4S
surfaced or dressed one side,S1S
surfaced or dressed one side and one edge,S1S1E
surfaced or dressed two sides,S2S
surface-to-air missile,SAM
surface-to-surface missile,SSM
surface-to-underwater missile,SUM
surge,SRG
surgical,SURG
survey,SURV
survival,SRVL
suspend,SUSP
suspended acoustical-plaster ceiling,SAPC
suspended acoustical-tile ceiling,SATC
suspended plaster ceiling,SPC
suspended sprayed acoustical ceiling,SSAC
suspension,SPNSN
sustaining,STNG
swage,SWG
swamp glider,SG
swash,SW
swash bulkhead,SWBHD
sweat,SWT
sweep,SWP
sweep expand,SWPEXP
sweep integrator,SWPINTEG
sweet dough,SDGH
swing,SWG
swinging bracket,SWGBKT
swinging door,SWGD
switch,SW
switch rails,SWR
switch stand,SWS
switch ties,SWT
switchband wound [relay],SW
switchboard,SWBD
switchgear,SWGR
switchgear block,SGB
switchover,SWOV
swivel,SWVL
symbol,SYM
symmetrical,SYMM
symposium,SYMP
synchro switch,SSW
synchro tie,SYNTI
synchronization bit,SB
synchronization indicator,SYNIND
synchronize,SYNC
synchronizing lamp,SYNLP
synchronizing receptacle,SYNRECP
synchronous,SYN
synchronous converter,SYNCCONV
synchronous dynamic random access memory,SDRAM
synchronous-orbiting communications,SYNCOM
synchroscope,SYNSCP
synthetic,SYNTH
syringe,SRNG
systeme international d'unites,SI
system,SYS
system noise figure,SNF
Systems Modeling Language,SysML
table solution,TABSOL
tables of equipment,TE
tables of organization,TO
tables of organization and equipment,TOE
tabulate,TAB
tabulator simulator,TABSIM
tachometer,TACH
tachometer voltmeter,TVM
tackle,TKL
tactical,TAC
tactical air navigation,TACAN
tactical data entry,TACDEN
tactical missile,TM
tactical range recorder,TRR
tail fuze,TFZ
tail gate,TGT
tail gear,TG
tail landing gear,TLG
tail shaft,TLSFT
tail wind,TW
tailor,TAL
tailpiece,TLPC
tally,TLY
tandem,TDM
tangent,TAN
tank destroyer,TD
tanker,TKR
tanker [aircraft],K
tanned,TAN
tape control unit,TCU
tape core,TC
tape distributor,TDISTR
tape drive,TPDR
tape phase inverter,TPI
tape-operated system,TOS
tape-pack,TAPAK
taper,TPR
taper pipe thread,NPT
taper pipe thread [railing fixtures],NPTR
taper shank,TS
tappet,TPT
tapping,TPG
target,TGT
target designation transmitter,TDT
target Doppler nullifier,TDN
target identification,TI
target practice,TP
target practice with tracer,TPT
tarpaulin,TARP
task parameter synthesizer,TPS
taxiway,TWY
T-bar [structural shape],T
teamwork,TW
technical,TECH
technical ammunition,TAM
technical bulletin,TB
technical circular,TC
technical control,TC
technical manual,TM
technical note,TN
technical order,TO
technical report,TR
teeth,T
telecommunications,TELECOM
telegraph,TLG
telegraph system,TS
telemeter,TLM
telemeter transmitter,TMX
telemetry,TLMY
telemetry processor module,TPM
telemotor,TELMTR
telephone,TEL
telephone booth,TELB
telephone interference factor,TIF
telephone station,TEL
telephotograph,TPHO
teleprinter,TPR
telescope,TLSCP
teletype,TT
teletypewriter,TTY
teletypewriter exchange,TWX
television,TV
television interference,TVI
temper,TEM
temperature,TEMP
temperature compensating,TC
temperature differential,TD
temperature indicating controller,TIC
temperature meter,TM
temperature switch,TSW
temperature well,TW
tempered,TMPD
tempered water,TW
tempering,TMPRG
template,TEMPL
temporary,TEMP
temporary construction hole,TCH
tenderizer,TNDZR
tensile,TNSL
tensile strength,TS
tension,TNSN
tentative,TNTV
teraohmmeter,TOHM
terminal,TERM
terminal block,TBLK
terminal board,TB
terminal protective device,TPD
termination,TERMN
terneplate,TRPL
terra cotta,TC
terrain-avoidance radar,TAR
terrain-clearance indicator,TCI
terrazzo,TER
terrazzo base,TERB
tertiary,TER
test and evaluate,TE
test equipment,TSTEQ
test link,TLK
test point,TP
test specification [no number],TSPEC
test specification [number],TS
test switch,TSW
tester,TSTR
testing,TSTG
testing and popping,TSPOP
testing device,TD
tetrachloride,TET
tetrafluoroethylene,TETFLEYNE
tetrode,TET
textile,TXTL
texture,TEX
that is,IE
theoretical,THEOR
theoretical point of fog,TPF
theoretical supplemental surface,TSS
therm,THM
thermal,THRM
thermal converter,THC
thermal demand transmitter,TDX
thermal element,TE
thermistor,THMS
thermocouple,TC
Thermoid,TH
thermometer,THERM
thermostat,THERMO
thermostatic,THRMSTC
thick,THK
thick film,THKF
thickener,THKNR
thicker,THKR
thickness,THKNS
thimble,TMB
thin film,TF
thin-film transistor,TFT
thinner,TNR
third stage,3STG
thread,THD
thread both ends,TBE
thread cutting,TC
thread for press-tight joints,NPSF
thread forming,TF
thread one end,TOE
threaded neck,THDNK
threadpiece,THDPC
three pole,3P
three-conductor,3C
three-dimensional,3D
three-phase,3PH
"three-pole, double-throw",3PDT
"three-pole, single-throw",3PST
three-stage,3STG
three-way,3WAY
three-wire,3W
throat,THRT
throttle,THROT
throttle reset,TRST
through,THRU
thrower,THWR
throwout,THWT
thrust,THR
thrust line,TL
thrust shell,THRSHL
thrust termination unit,TTU
thyratron core driver,TCD
thyratron motor control,THYMOTROL
thyristor,THYR
ticket,TKT
tie line,TL
tie plate,TP
tight joints,NPTF
tight wrapped,TW
tightening,TTNG
tile base,TB
tile block,TB
tile drain,TD
tile floor,TF
tile shingle roof,TSR
tile threshold,TT
tile wainscot,TW
tiller,TLR
tilting,TLG
timber,TMBR
time and superquick,TSQ
time compliance technical order,TCTO
time constant,TC
time delay,TD
time division multiplex,TDM
time meter,TIM
time of fail,TF
time of flight,TMFL
time of rise,TR
time of variation of gain,TVG
time opening,TO
time since new,TSN
time since overhaul,TSO
time switch,TS
timed,TMD
timed closing,TC
time-delay closing,TDC
time-delay opening,TDO
timer,TMR
timing,TMG
timing and telemetry,TT
tinned,TND
Tobin bronze,TOBBRZ
toboggan,TOB
toggle,TGL
toilet,T
toilet case,TC
toilet-paper holder,TH
tolerance,TOL
tolerance zone framework,TZF
tone and alarm,TNALM
tone modulation,TM
tongue,TNG
tongue and groove,TG
tongueless,TGLS
tool steel,TS
toothed ring,TR
top and bottom,TB
top and bottom bolt,TBB
top chord,TC
top dead center,TDC
top of frame,TFR
topping,TOPG
torpedo,TORP
torpedo battery,TBATT
torpedo group,TG
torpedo part of beam,TP
torque,TRQ
torque converter,TC
torque-differential receiver,TDR
torquemeter,TORM
torsiograph,TORSIO
torsion,TRSN
torsional,TORNL
toss bomb computer,TBC
total,TOT
total dynamic head,TDH
total harmonic distortion,THD
total indicator reading,TIR
total load,TLLD
total time,TT
total trim,T
totalize,TOTLZ
totalizing relay,TOR
totally enclosed,TE
"totally enclosed, fan-cooled",TEFC
touch-tone multifrequency,TTMF
towel rack or rod,TR
tower,TWR
towing,TOW.
trace,TR
tracer,TRCR
tracer number,TN
track,TRK
track data simulator,TDS
track data storage,TDST
track imitation,TIM
track initiate,TI
tracking,TRKG
tracking and guidance,TG
tracking radar input and correlation,TRIC
tracks per inch,TPI
trackway,TRWA
trade name,TRN
trade pattern,TRP
traffic,TRFC
trailer,TRLR
trailer mounted,TLRMTD
trailing,TRG
trailing edge,TE
trailing edge radius,TER
train,TN
trainer,TRNR
training,TNG
training manual,TM
trajectory,TRAJ
transaction,TRAN
transceiver,XCVR
transcribe,TRSCB
transcriber,TRSBR
transcribing,TRSBG
transducer,XDCR
transfer,XFR
transferred-electron logic device,TELD
transformer,XFMR
transistor,XSTR
transistor driver core memory,TDCM
transistor-transistor logic,TTL
transistor under test,TUT
transistor voltmeter,TVM
transistorized,TSTRZ
transition,TRNSN
transitional testing [aircraft],Y
translator,XLTR
transmission,XMSN
transmit,XMT
transmit gain control,TGC
transmit-receive,TR
transmittal,XMTL
transmittance,TRANS
transmitted,XMTD
transmitter,XMTR
transmitter distributor,TD
transmitter receiver,TR
transmitting,XMTG
transom,TR
transparent,TRANS
transport vehicle,TV
transportable satellite communications link terminal,TSCLT
transportation,TRANSP
transpose,TRNPS
transposition,TPSN
transverse,TRANSV
transverse electric,TE
transverse electromagnetic,TEM
transverse expansion joint,TEJ
transverse magnetic,TM
trapezoid,TRAP
trapped-plasma avalanche triggered transit,TRAPATT
travel limit,TRVLMT
traveler,TRVLR
traveling,TRVLG
traveling wave,TW
traveling-wave multiple-beam klystron,TWMBK
traveling-wave tube,TWT
traversing,TRAV
tread,TRD
treated,TRTD
treated hard-pressed fiberboard,THPFB
treatment,TRTMT
treble,TRB
triangle,TRNGL
tributary,TRIB
trick wheel,TRKWHL
trigger,TRIG
triggering,TRIG
trigonometry,TRIG
trim after forming,TAF
trimmer,TRMR
trinitrotoluene,TNT
triode,TRI
trip coil,TC
triple,TPL
triple wall,TPLW
triple-pole,3P
"triple-pole, double-throw",3PDT
"triple-pole, double-throw switch",3PDTSW
"triple-pole, single-throw",3PST
"triple-pole, single-throw switch",3PSTSW
triple-pole switch,3PSW
triple-throw,3T
triplex,TRX
tripped,TRP
tripping,TRP
trolley,TRLY
troposphere,TROPO
truck,TRK
true airspeed,TAS
true position,TP
true position tolerance,TPTOL
true profile,TP
truncated whitworth coarse thread,TWC
truncated whitworth fine thread,TWF
truncated whitworth special thread,TWS
trunk,TRK
trunnion,TRUN
truss,TR
truss head,TRH
tube axial,TBAX
tube sheet,TS
tube sheet inlet and outlet head,TSIOH
tube under test,TUT
tubing,TBG
tumble,TMB
tumbler,TBLR
tune-controlled gain,TCG
tuned radio frequency,TRF
tuned-plate tuned-grid,TPTG
tungsten,TUNG
tuning,TUN
tunnel,TNL
tunnel diode,TNLDIO
tunnel-diode logic,TDL
turbine,TURB
turbine close coupled,TCC
turbine direct,TD
turbine driven,TD
turbine generator,TURBOGEN
turbine inlet pressure,TIP
turbine inlet temperature,TIT
turbine reduction drive,TRD
turbo alternator,TURBOALT
turbocharged after cooled,TAC
turbocharger,TURBO
turbojet propulsion,TJP
turnbuckle,TRNBKL
turned,TRND
turning,TURN
turning gear,TRNGR
turning light,TRNLT
turnout,TO
turntable,TRNTBL
turret,TUR
twin sideband,TWSB
twin turbocharger,TT
twin turbocharger after cooled,TTAC
twist drill gage,TDG
twisted,TW
twisted pair,TWPR
two-conductor,2C
two-digit,2DIG
two-dimensional,2D
two-phase,2PH
two-pole,DP
"two-pole, double-throw",DPDT
"two-pole, single-throw",DPST
two-stage,2STG
two-way,2WAY
two-wire,2W
type mode series,TMS
type plate,TYPL
typesetting,TYPSTG
typesetting lead,TSL
typewriter,TW
typical,TYP
ultrahigh frequency,UHF
ultra-high frequency direction finding,UHFDF
ultrasonic frequency,UF
ultraviolet,UV
ultraviolet amplification by stimulated emission of radiation,UVASER
ultraviolet floodlight,UVFLT
umbilical,UMB
umbilical cord,UMBC
unauthorized,UNAUTHD
unbleached,UBL
unbleached muslin,UMUS
unclamp,UNCLP
uncoated,UNCTD
unconditionally,UNCOND
undefined,UNDEF
under,UND
under hatch,UH
under heat,UHT
undercarriage,UNDCRG
undercurrent,UNDC
underframe,UNDFR
underfrequency,UNDF
underfrequency relay,UFR
underground,UGND
underload,UNDLD
undersize,US
undervoltage,UNDV
undervoltage device,UVD
underwater,UWTR
underwater battery,UB
underwater object locator,UOL
underwater team,UWTM
underwater-to-air missile,UAM
underwater-to-surface missile,USM
undetermined,UNDETM
undulations per revolution,UPR
unfinished,UNFIN
unfuzed,UNF
unglazed ceramic mosaic tile,UCMT
unglazed structural facing units,USFU
unglazed structural unit base,USUB
unified,UN
Unified coarse thread,UNC
Unified extra fine thread,UNEF
Unified fine thread,UNF
